text,ASSORTMENT,PROMOTIONS,DELIVERY,PRICE,PRODUCTS_QUALITY,SUPPORT,CATALOG_NAVIGATION,PAYMENT
"Цены в [NUM] раза выше чем в обычном магазине. Конкурент по скорости доставки только перекрёсток, но эта разница нивелируется при заказе продуктов в течении дня на неделю, т.к выгоднее взять в перекрёстке или сбермаркете.",0,1,0,1,0,0,0,0
Есть над чем работать. Спасибо,1,1,0,1,0,0,1,0
Цены на многие продукты прилично дороже чем в других магазинах. Неудобные категории товаров.,1,1,0,1,0,0,1,0
Долго доставка очень,1,0,1,1,0,0,0,0
"Быстро и качественно, но высокие цены и нельзя отследить доставку. Часто курьеры задерживаются до [NUM]-[NUM] минут",0,0,1,1,0,0,0,1
"можно и не от [NUM] доставку делать, хотя бы от [NUM]",0,0,1,0,0,0,0,0
Хотелось бы больше ассортимент и периодические персональные скидки,1,1,0,1,0,0,0,0
"Нет отзывов о товаре. Иногда, особенно на готовые блюда хотелось бы почитать отзывы",0,0,0,0,0,0,1,0
"Жду заказ уже [NUM] минут, а курьер даже не выехал",0,0,1,0,0,0,0,0
"поддержка так себе, один раз списали деньги за заказ два раза и не верили мне при предаствлении доказательств и не хотели оформлять возврат. доставщики часто путали заказы и привозили чужие. ну и цены слишком завышены ???????",1,1,1,1,0,1,0,0
"Я думаю что курьер раньше времени домой поехал и заказ я свой не увижу, скорее всего придётся скидку на следующий заказ сделать",0,0,1,0,0,0,0,1
"Очень долго доставляете, по сравнению с конкурентами",0,0,1,0,0,0,0,0
"Очень медленно привозят заказы, может быть по [NUM]-[NUM] минут написано «вот вот будет у вас» курье?р",0,0,1,0,0,0,0,0
Курьер очень злой,0,0,1,0,0,0,0,0
Цены дороже других магазинов,0,0,0,1,0,0,0,0
Долгая доставка,1,0,1,1,0,0,0,1
Дорого,0,1,0,1,0,0,1,0
"Часто не всё привозят, никак это не исправляют, овощи часто не вкусные, поэтому даже приложение пару раз удаляла. Конфеты вкусные очень",1,0,1,0,0,0,0,0
"Были неприятные случаи с испорченными продуктами, к сожалению. Все возвращали, но оставался неприятный осадок. Хотелось бы, чтобы такого не было. Также, курьеры часто очень задерживаются и никакие за это промокоды не дают. Даже если ждешь час.",1,1,1,1,1,1,0,0
Неплохой сервис,1,1,0,1,0,0,0,1
"Пользуюсь давно, но каждый раз удивляете. Очень долго ждать, и продукты бывают не свежие",0,0,1,0,0,0,0,0
Сборка заказа отвратительная.,1,1,1,0,0,1,0,0
"Очень долго доставляют, никаких извинений за это не получаешь от поддержки",0,0,1,0,0,1,0,0
"Если бы еще курьеры не ездили по [NUM] минут вместо обещанных [NUM], было бы куда лучше",1,0,0,0,0,0,0,0
"Маленький ассортимент готовой еды, не с того не с чего ставите цену на минимальный заказ, цены высокие на обычные продукты, в пятерочки или магните у них в приложение значительно дешевле!",1,1,0,1,0,0,0,0
"Дорого пздц,но лень делает свое дело )))",1,0,0,1,0,0,0,0
Доставка пришел вот вот нету уже [NUM] минуь,0,0,1,0,0,0,0,0
"[NUM],[NUM] часа доставляли заказ другу, спасибо)",0,0,1,1,0,0,0,0
"Очень долгая доставка стала до дому, пишут [NUM] минут приезжают за [NUM].[NUM] часа",0,0,1,0,0,1,0,0
Где мой заказ ? Очень долгая доставка,0,0,1,0,0,0,0,0
"Очень хороший сервис, доставляет всё быстро, а редкие опоздания всегда компенсирует. Большое спасибо всём сотрудникам сервиса!",0,1,0,1,0,0,0,0
Лимит доставки высокий,1,1,1,1,0,0,0,0
"думаю, что готовая еда преимущественно невкусная, а чтобы заказывать кухню на районе - можно просто пойти к ним в приложение. а в остальном - класс",1,0,0,0,1,0,0,0
Привозили испорченные товары!,0,0,0,0,1,0,0,0
"Ужасно долго стало, все последние заказы пришли не в срок, раньше было гораздо лучше, сейчас даже на полчаса рассчитывать не стоит",0,0,1,0,0,0,0,0
"Ассортимент продуктов хороший.та самая реклама с доставкой за [NUM] минут себя не оправдывает,один раз ждала заказ [NUM] часа,это нормально? Эту ситуацию даже никак не предложили загладить.Клиентоориентированность на нуле.",1,0,0,0,0,0,0,0
Скидка хочу,0,1,0,1,1,0,0,1
"Слишком долго ждать! Особенно вечером! Платишь от [NUM]р за заказ и ждёшь [NUM],[NUM] часа",0,0,1,0,0,0,0,0
Я жопа,1,1,0,1,0,0,0,0
Поддержка [NUM],0,1,1,0,1,1,0,1
Долгая доставка,0,0,1,1,0,0,0,0
норм пиво,1,1,0,1,0,0,0,0
Долго доставляете,0,0,1,0,0,0,0,0
"Поддержка скриптовая и шаблонная, вопросы обычно решались ""нам жаль, вот скидка"". Если чего-то нет, то просто не привезём и все - позвоните с пункта сбора и предложите замену, ну не просто же так люди выбирают продукты! Все не смог описать - мало места???",0,0,1,1,0,1,0,0
"Доставка быстрая, но молочные продукты скорее всего подвергаются нарушению хранения или перемаркеровке.",0,0,0,0,1,0,0,0
"хотелось побольше товаров,ну и доставку нормальную без задержек и опозданий,потому что заказываешь ты утром покушать,а доставка задерживается это очень странно",1,0,1,1,0,0,0,0
"Все заебись, только бы курьеры привозили мороженое не в одном пакете с другими продуктами",1,0,1,1,0,0,0,0
Хз,1,0,0,0,0,0,1,0
Долго доставляют заказ,0,0,1,0,0,0,0,0
Последнее время очень долго длится доставка. У каждого товара быстро истекает срок годности. Скидок очень мало.,0,1,1,0,1,0,0,0
Курьеры часто задерживаются,0,0,1,0,0,0,0,0
Все плохо,0,0,1,0,0,0,0,0
"Бедные курьеры с [NUM],[NUM] заказами бегают, вы жестоки с ними!!!",0,0,1,1,0,1,0,0
"В последнее время очень увеличилось время доставки (раньше было [NUM]-[NUM] минут) сейчас от получаса до часа, это ужас.",1,0,1,0,0,0,0,0
"Доставка часто задерживается, а приложение падает. Мерзость",0,0,1,0,0,1,0,0
Всегда написано не точное время доставки пишут [NUM] мин привозят через [NUM],0,0,1,0,0,1,0,0
Заказ мой вовремя несите,0,0,1,0,0,0,0,0
????,0,1,0,1,1,0,0,1
"Очень странная система исключения из заказа товара, который закончился, отсутствие уведомлений об этом, на некоторые адреса очень долгая доставка",1,0,1,0,1,0,0,0
"Курьерам за тяжолые заказы доплачивайте, они вам не лошади.",0,1,0,1,0,0,0,1
"Скидка [NUM]%, которую вы обещаете, не применяется к заказу",0,1,0,0,0,0,0,0
"слишком долгая доставка, а так все отлично",1,1,1,1,0,0,0,0
Постоянно затягивается время доставки,1,0,1,0,0,0,0,1
"Если написано, доставка [NUM] минут, ни разу еще не приезжала, раньше чем через полтора часа)",0,0,1,0,0,0,0,0
"По началу, когда самокат только появился, все было хорошо, доставка укладывалась в заявленные [NUM] минут, но последнее время, это просто ужас, все хуже и хуже. Последняя доставка [NUM] минуты! Это не приемлемо, смысл сервиса теряется.",0,0,1,0,0,0,0,0
??,1,1,0,1,1,0,1,0
"Сумма заказа минимального в зависимости от района от [NUM]-[NUM] рублей, доставка часто задерживается, служба поддержки работает хорошо, сделали скидку за испорченный товар, но хотелось бы просто сразу хороший товар получить",1,0,1,1,0,0,0,0
"Страдает отдел с напитками, особенно соки. В этом разделе просто нечего покупать. Стоит добавить больше доступных по цене товаров. Стоит доработать раздел готовой еды. Качество и вкус готовой еды не соответствует ценам за нее.",1,1,0,1,0,0,0,0
"Закрытую упаковку для доставки, чтобы у курьеров не было доступа к содержимому заказа.",0,0,1,0,0,0,0,0
"Сделала заказ потому что нужны были продукты СРОЧНО! В приложении указано доставка [NUM] МИНУТ, не ОТ [NUM]. В итоге заказ привезли через [NUM] минут.  Зачем вводить людей в заблуждение? Злюсь! Повторюсь, заказ нужен был СРОЧНО.",0,0,1,0,0,0,0,0
"Вы испортились((( качество продуктов почти в каждом заказе стала возвращать((( раньше на это закрывала глаза, ТАК КАК ЭТО БЫЛО ОЧЕНЬ РЕДКО. Очень часто доставка приходит не за [NUM] мин((( как было раньше",1,0,1,0,1,0,1,0
не возвращают деньги ща отмененный заказ,0,1,0,0,0,1,0,0
"Хороший ассортимент , но иногда очень страдает доставка. Приходится ждать намного дольше обычного, а в поддержке не могут объяснить с чем это связано. Рассчитываешь на одно время, делаешь планы и все срывается. Это очень огорчает.",0,0,1,0,0,0,0,0
"Нужно писать реальное время доставки и сделать возможность видения, где на момент доставки находится курьер",0,0,1,0,0,0,0,0
"Постоянно опаздывает доставка,надо увеличить количество курьеров. Было бы круто сделать её [NUM] часа.",0,0,1,0,0,1,0,1
"Больше выбора в ассортименте не помешало бы, и следить за сроком годности",1,0,0,1,1,0,0,0
"Я думаю, что очень часто курьеры опаздывают на целый час, это возмутительно!!!",1,0,1,1,0,0,0,0
Сроки доставки в [NUM] раз дольше указанных. Поддержка не помогает в решении таких вопросов. Никакой лояльности к клиенту,0,0,1,0,0,1,0,0
расширьте ассортимент на продукты.,1,0,1,1,0,0,0,0
П,0,1,0,0,0,1,1,0
"Очень долгая доставка, больше часа в последнее время, готовую еду из ресторанов и то быстрее доставляют",0,0,1,0,0,0,0,0
"Последние [NUM] доставки это нечто. Одни нервы. Час назад я сделала заказ и ничего нет. Бонусы нормально начислить не могут, рыбу тухлую привезли, один пакет из заказа у них вообще в другом заказе оказался. Ужасно. Просто ужасно. Решение проблем занимат день",0,0,1,0,1,1,0,0
Курьеры постоянно задерживаются.. [NUM] мин сроду не дождешься..,0,1,1,0,0,0,1,1
Постоянные задержки курьеров,0,0,1,0,0,0,0,0
"Испортилась доставка, стали дольше доставлять. Много товаров нет, приходится в Яндекс заказывать",1,0,1,0,0,0,0,0
"Быстро, удобно !но качество продуктов , так себе ??",1,0,0,0,1,0,0,0
"Хотелось бы , тоь можно было заказать нужный продукт без определённой цены на заказ",0,0,1,1,1,0,1,0
Очень часто стали привозить плохо качества овощи,1,0,1,0,1,0,0,0
"Очень часто продукты плохие, доставка постоянно задерживается. Курьеры даже не дают время на проверку товара.",1,0,1,0,1,1,0,0
Очень долгая доставка последнее время,0,1,1,0,0,1,0,0
Говно полнейшее,0,0,0,0,1,0,0,0
"Ранее очень было удобно, сейчас ввели минимальную сумму, что стало совсем неудобным, ладно бы был фикс от [NUM] руб, хотя и это много. Раньше пользовалась часто, сейчас когда магазин в доме, то реже. И перестала рекомендовать, потому что цены значительно вы",0,1,0,1,0,0,0,0
Долгая доставка,0,0,1,0,0,0,0,0
"Часто бывают крупные суммы минимального заказа, что часто заставляет отказаться от заказа",0,0,1,0,0,0,0,0
Ооочень долгая доставка. В последнее время не меньше [NUM]-[NUM] минут. До этого [NUM] минут. Небольшой ассортимент.,1,1,1,1,0,1,0,0
Все быстро и качественно!,1,1,0,0,0,0,0,0
"Цены больше рынка, доставка частенько опаздывает. Постоянно меняете сумму заказа что очень бесит, приложение часто не работает",1,0,1,1,0,0,0,0
"цены слишком высокие, время доставки очень часто нарушается, часто приезжают продукты в испорченной упаковке",1,1,1,1,1,1,0,0
Поддержка работает очень плохо,0,0,1,1,0,1,0,0
"Качество продуктов среднее, мясо, охлажд?нное могут привезти со сроком годности посередине или ближе к концу. Цены по сравнению с магазином на [NUM]-[NUM]% выше! Фрукты штучно маленькие, бананы привозили карликовые, недозревшие. К весовым фруктам претензий нет.",0,0,1,1,1,1,1,0
Не постоянные,0,0,1,0,0,0,0,0
"Все хорошо, но когда вы уже научитесь мороженое класть в термо пакет и при этом в отдельный отсек. А то приезжает в [NUM] случаях из [NUM] каша",0,0,1,0,0,0,0,0
Время доставки нужно умножить на два,0,0,1,0,0,0,0,0
"Заказываем с сестрой из самоката на один адрес Дунайский [NUM]/[NUM], ей всегда привозят без задержек, вовремя, мои заказы на тот же адрес ВСЕГДА приезжают с большими опозданиями, мы даже делали как то два заказа на один адрес история такая же.",0,0,1,0,0,0,0,0
"Продукты не всегда свежие и в хорошем состоянии. Если беру с отметкой «проверено, спелое» не факт, что будет спелое. И цены   дорогие",0,1,0,1,1,0,0,0
У вас не пишут время доставки заказов . И задерживается заказ - непонятно на какое время. А при обращении в поддержку написали «ждите [NUM]-[NUM] минут пока оператор подключится». В яндекс лавке отвечают в течение [NUM] минуты,1,0,1,0,0,1,0,0
Ужасно долгая доставка,0,0,1,0,1,0,0,0
Заебали убирать из заказа товары и не говорить об этом,0,0,1,0,0,0,0,0
"Данный момент доставка задерживается, курьер не закончил другой заказ. Время уже проходит",1,0,1,0,0,0,0,0
Пойдет на разок,1,0,1,1,1,0,0,0
Курьер опоздал на [NUM] мин.,0,0,1,0,0,0,0,0
Ок,1,1,0,1,0,0,0,0
у меня сушняк после гей клуба. мне нужны яйца. я уже жду их [NUM] минут а их не везут. что за издевательство. что за беспредел. я не гей,0,0,1,0,0,0,0,0
"Цены выше конкурентов, долгая доставка, попадаются курьеры без знания русского языка и способности найти дверной звонок. Из плюсов - отличное качество продукции под маркой Самокат",1,1,1,1,0,0,0,0
норм,1,1,0,1,0,0,0,0
Маркетинг ужасный у вас,1,1,0,1,0,0,0,0
Неплохой сервис доставки,1,1,1,0,1,0,0,0
продукты стали хуже. цена не изменилась. доставка стала дольше,0,0,1,0,1,1,0,0
"Заебали привозить молоко на последних днях срока годности. Ещё спорят потом, что оно в сроках находится, а мне видимо нужно купаться в этих четырёх, блять, литрах молока на последнем издыхании.",1,1,1,1,0,0,0,0
"Вкусные свои продукты, но доставка не [NUM] минут часто, не понимаю зачем позиционировать своё время именно так. Много проблем с тем, что рассчитываешь на полчаса, приходится ждать час",1,0,1,1,0,0,0,0
"Отлично работаете. Заказывал бы у вас чаще, если бы цена на ваши товары была ниже",1,1,0,1,0,0,0,0
Ни чего,0,0,0,1,0,0,0,0
Можно пожалуйста больше скидок и больше начислений бонусов спасибо!,0,0,1,1,0,0,0,0
"Товары очень плохого качестве, по сроку годности они свежие, но на вкус и запах нет",0,0,0,0,1,0,0,0
Сегодня очень долго собирали заказ.,0,0,1,0,0,0,0,0
Временна цена заказа не устраивает,1,0,1,1,0,0,0,1
